test,res_scal,llm_scal,hlm_scal,lo_limit,hi_limit,units,lo_spec,hi_spec,job_nam,job_rev
1000__glxy_ss_ih__________<>,0,0,0,-0.8999999761581421,-0.4000000059604645,v,,,mobile-05,16
1010__glxy_osc______________<>,0,0,0,-0.8999999761581421,-0.4000000059604645,v,,,mobile-05,16
1020__glxy_outs____________<>,0,0,0,-0.8999999761581421,-0.4000000059604645,v,,,mobile-05,16
1030__glxy_outf____________<>,0,0,0,-0.8999999761581421,-0.4000000059604645,v,,,mobile-05,16
1040__glxy_vccs____________<>,0,0,0,-0.8999999761581421,-0.4000000059604645,v,,,mobile-05,16
1050__glxy_vccf____________<>,0,0,0,-0.8999999761581421,-0.4000000059604645,v,,,mobile-05,16
1060__glxy_boot____________<>,0,0,0,-0.8999999761581421,-0.4000000059604645,v,,,mobile-05,16
1070__glxy_comp____________<>,0,0,0,-0.8999999761581421,-0.4000000059604645,v,,,mobile-05,16
1080__glxy_fb________________<>,0,0,0,-0.8999999761581421,-0.4000000059604645,v,,,mobile-05,16
1090__glxy_pt________________<>,0,0,0,-0.8999999761581421,-0.4000000059604645,v,,,mobile-05,16
1100__abs__comp______________<>,6,6,6,-0.0005499999970197678,9.999999747378752e-06,a,,,mobile-05,16
1120__abs__fb__________________<>,6,6,6,-3.999999989900971e-06,2.499999993688107e-07,a,,,mobile-05,16
1130__ref__bef__zap________<>,0,0,0,3.1779999732971187,3.563999891281128,v,,,mobile-05,16
1132__sim1__ref__<>,0,0,0,3.157999992370605,3.5980000495910645,v,,,mobile-05,16
1134__sim2__ref__<>,0,0,0,3.157999992370605,3.5980000495910645,v,,,mobile-05,16
1136__sim3__ref__<>,0,0,0,3.157999992370605,3.5980000495910645,v,,,mobile-05,16
1138__sim4__ref__<>,0,0,0,3.157999992370605,3.5980000495910645,v,,,mobile-05,16
1140__sim5__ref__<>,0,0,0,3.157999992370605,3.5980000495910645,v,,,mobile-05,16
1142__sim6__ref__<>,0,0,0,3.157999992370605,3.5980000495910645,v,,,mobile-05,16
1144__sim7__ref__<>,0,0,0,3.157999992370605,3.5980000495910645,v,,,mobile-05,16
1146__sim8__ref__<>,0,0,0,3.157999992370605,3.5980000495910645,v,,,mobile-05,16
1148__sim9__ref__<>,0,0,0,3.157999992370605,3.5980000495910645,v,,,mobile-05,16
1150__sim10__ref__<>,0,0,0,3.157999992370605,3.5980000495910645,v,,,mobile-05,16
1152__sim11__ref__<>,0,0,0,3.157999992370605,3.5980000495910645,v,,,mobile-05,16
1154__sim12__ref__<>,0,0,0,3.157999992370605,3.5980000495910645,v,,,mobile-05,16
1156__sim13__ref__<>,0,0,0,3.157999992370605,3.5980000495910645,v,,,mobile-05,16
1158__sim14__ref__<>,0,0,0,3.157999992370605,3.5980000495910645,v,,,mobile-05,16
1160__sim15__ref__<>,0,0,0,3.157999992370605,3.5980000495910645,v,,,mobile-05,16
1170__ref__best__________<>,0,0,0,3.3399999141693115,3.384999990463257,v,,,mobile-05,16
1175__indice________________<>,0,0,0,-1.0,17.0,,,,mobile-05,16
1180__zap__current______<>,3,3,3,0.30000001192092896,1.5,a,,,mobile-05,16
1190__ref__aft__zap__________<>,0,0,0,3.3399999141693115,3.384999990463257,v,,,mobile-05,16
1195__ref__recovery________<>,3,3,3,-0.18000000715255735,0.18000000715255735,v,,,mobile-05,16
1200__ref__precision______<>,2,2,2,-0.03500000014901161,0.03500000014901161,%,,,mobile-05,16
1210__line__8/55v____________<>,3,3,3,-0.0074999998323619374,0.0074999998323619374,v,,,mobile-05,16
1220__iq__dut_cycle=0____<>,3,3,3,0.0006000000284984707,0.003400000045076013,a,,,mobile-05,16
1230__iq__st_by__24v________<>,6,6,6,4.9999998736893765e-05,0.00018000000272877514,a,,,mobile-05,16
1240__iq__st_by__55v________<>,6,6,6,4.9999998736893765e-05,0.00028000000747852033,a,,,mobile-05,16
1250__abs__supply____________<>,6,6,6,4.9999998736893765e-05,0.0003800000122282654,a,,,mobile-05,16
1260__iq__tot____________________<>,3,3,3,0.0017000000225380065,0.004999999888241291,a,,,mobile-05,16
1270__freq__at__8v____________<>,-3,-3,-3,93000.0,107000.0,hz,,,mobile-05,16
1280__uvlo__up__th____________<>,0,0,0,6.800000190734862,8.0,v,,,mobile-05,16
1300__uvlo__hysteresis____<>,0,0,0,0.0,1.0,,,,mobile-05,16
1310__freq__at__55v__________<>,-3,-3,-3,93000.0,107000.0,hz,,,mobile-05,16
1320__freq__stability____<>,2,2,2,-0.05000000074505806,0.05000000074505806,%,,,mobile-05,16
1330__freq__max________________<>,-3,-3,-3,220000.0,480000.0,hz,,,mobile-05,16
1340__i__inh__low______________<>,6,6,6,-1.2000000424450265e-05,-1.9999999949504854e-06,a,,,mobile-05,16
1350__inh__th__up________________<>,0,0,0,1.5,2.400000095367432,v,,,mobile-05,16
1360__inh__th__down____________<>,0,0,0,0.8999999761581421,1.7000000476837158,v,,,mobile-05,16
1370__inh__hyste________________<>,0,0,0,0.4000000059604645,0.8999999761581421,v,,,mobile-05,16
1380__iss__charge____________<>,6,6,6,-4.600000102072954e-05,-3.400000059627928e-05,a,,,mobile-05,16
1390__iss__discharge________<>,6,6,6,7.999999979801942e-06,1.2000000424450265e-05,a,,,mobile-05,16
1400__lkg__mos____________________<>,6,6,6,-5.999999848427251e-05,1.9999999949504854e-06,a,,,mobile-05,16
1410__abs__out____________________<>,3,3,3,-0.029999999329447743,0.004999999888241291,a,,,mobile-05,16
1420__abs__boot__________________<>,3,3,3,3.9999998989515007e-05,0.0012000000569969413,a,,,mobile-05,16
1430__lkg__boot__mos__off__<>,6,6,6,9.999999747378752e-06,9.999999747378753e-05,a,,,mobile-05,16
1440__lkg__boot__________________<>,3,3,3,0.0,0.0008999999845400453,a,,,mobile-05,16
1450__drop__of__the__mos__<>,0,0,0,0.07500000298023224,0.5400000214576721,v,,,mobile-05,16
1460__rds__on____________________<>,0,0,0,0.05000000074505806,0.36000001430511475,ohm,,,mobile-05,16
1470__imax__bef__zap__<>,0,0,0,1.870000004768372,3.309999942779541,a,,,mobile-05,16
1500__imax__aft__zap______<>,0,0,0,2.115000009536743,2.884999990463257,a,,,mobile-05,16
1510__imax__precision______<>,2,2,2,-0.4000000059604645,0.4000000059604645,%,,,mobile-05,16
1520__max__duty__cycle____<>,2,2,2,0.9549999833106996,0.9950000047683716,%,,,mobile-05,16
1550__osc__val__24v__________<>,0,0,0,0.8000000119209291,0.9049999713897704,v,,,mobile-05,16
1560__osc__pk__55v______________<>,0,0,0,9.199999809265137,10.0,v,,,mobile-05,16
1570__osc__pk__8v________________<>,0,0,0,2.0199999809265137,2.2799999713897705,v,,,mobile-05,16
1580__gain__op_loop__________<>,0,0,0,52.0,88.0,db,,,mobile-05,16
1590__svrr__________________________<>,0,0,0,62.0,98.0,db,,,mobile-05,16
1600__bias__ea__________________<>,6,6,6,1.050000037139398e-06,2.9499999527615728e-06,a,,,mobile-05,16
1610__transcond______________<>,3,3,3,0.0012000000569969413,0.005799999926239252,,,,mobile-05,16
1620__ea__swing__high______<>,0,0,0,10.399999618530273,13.899999618530273,v,,,mobile-05,16
1630__ea__swing__low__<>,0,0,0,-0.05000000074505806,0.6000000238418579,v,,,mobile-05,16
1640__src__out__i______________<>,6,6,6,-0.0003800000122282654,-0.00021499999274965376,a,,,mobile-05,16
1650__sink__out__i____________<>,6,6,6,0.00022000000171829015,0.0003800000122282654,a,,,mobile-05,16
